Accession,Organism_Name,Species,Isolate,Segment,Length,Nuc_Completeness,Country,Host,Collection_Date,isolate_clean,country_clean,isolate_key
PP746395,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P35,S,1677,partial,Rwanda,Bos taurus,2022-06-17,Rwanda2022P35,Rwanda,Rwanda | Rwanda2022P35
PP746396,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P36,S,1658,partial,Rwanda,Bos taurus,2022-06-25,Rwanda2022P36,Rwanda,Rwanda | Rwanda2022P36
PP746323,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P4,L,5924,partial,Rwanda,Bos taurus,2022-06-07,Rwanda2022P4,Rwanda,Rwanda | Rwanda2022P4
PP746359,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P4,M,3513,partial,Rwanda,Bos taurus,2022-06-07,Rwanda2022P4,Rwanda,Rwanda | Rwanda2022P4
PP746397,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P4,S,1658,partial,Rwanda,Bos taurus,2022-07-06,Rwanda2022P4,Rwanda,Rwanda | Rwanda2022P4
PP746324,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P40,L,5936,partial,Rwanda,Bos taurus,2022-07-03,Rwanda2022P40,Rwanda,Rwanda | Rwanda2022P40
PP746360,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P40,M,3558,partial,Rwanda,Bos taurus,2022-07-03,Rwanda2022P40,Rwanda,Rwanda | Rwanda2022P40
PP746398,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P40,S,1658,partial,Rwanda,Bos taurus,2022-03-07,Rwanda2022P40,Rwanda,Rwanda | Rwanda2022P40
PP746325,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P45,L,5936,partial,Rwanda,Bos taurus,2022-06-17,Rwanda2022P45,Rwanda,Rwanda | Rwanda2022P45
PP746361,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P45,M,3731,partial,Rwanda,Bos taurus,2022-06-17,Rwanda2022P45,Rwanda,Rwanda | Rwanda2022P45
PP746399,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P45,S,1658,partial,Rwanda,Bos taurus,2022-06-17,Rwanda2022P45,Rwanda,Rwanda | Rwanda2022P45
PP746326,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P47,L,6234,partial,Rwanda,Bos taurus,2022-06-09,Rwanda2022P47,Rwanda,Rwanda | Rwanda2022P47
PP746362,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P47,M,3840,partial,Rwanda,Bos taurus,2022-06-09,Rwanda2022P47,Rwanda,Rwanda | Rwanda2022P47
PP746400,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P47,S,1658,partial,Rwanda,Bos taurus,2022-09-06,Rwanda2022P47,Rwanda,Rwanda | Rwanda2022P47
PP746327,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P5,L,5924,partial,Rwanda,Bos taurus,2022-06-03,Rwanda2022P5,Rwanda,Rwanda | Rwanda2022P5
PP746363,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P5,M,3513,partial,Rwanda,Bos taurus,2022-06-03,Rwanda2022P5,Rwanda,Rwanda | Rwanda2022P5
PP746401,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P5,S,1658,partial,Rwanda,Bos taurus,2022-03-06,Rwanda2022P5,Rwanda,Rwanda | Rwanda2022P5
PP746328,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P55,L,6222,partial,Rwanda,Bos taurus,2022-06-12,Rwanda2022P55,Rwanda,Rwanda | Rwanda2022P55
PP746364,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P55,M,3568,partial,Rwanda,Bos taurus,2022-06-12,Rwanda2022P55,Rwanda,Rwanda | Rwanda2022P55
PP746402,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P55,S,1658,partial,Rwanda,Bos taurus,2022-12-06,Rwanda2022P55,Rwanda,Rwanda | Rwanda2022P55
PP746329,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P61,L,5936,partial,Rwanda,Bos taurus,2022-06-22,Rwanda2022P61,Rwanda,Rwanda | Rwanda2022P61
PP746365,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P61,M,3571,partial,Rwanda,Bos taurus,2022-06-22,Rwanda2022P61,Rwanda,Rwanda | Rwanda2022P61
PP746403,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P61,S,1658,partial,Rwanda,Bos taurus,2022-06-22,Rwanda2022P61,Rwanda,Rwanda | Rwanda2022P61
PP746330,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P66,L,5924,partial,Rwanda,Bos taurus,2022-06-22,Rwanda2022P66,Rwanda,Rwanda | Rwanda2022P66
PP746366,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P66,M,3840,partial,Rwanda,Bos taurus,2022-06-22,Rwanda2022P66,Rwanda,Rwanda | Rwanda2022P66
PP746404,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P66,S,1658,partial,Rwanda,Bos taurus,2022-06-22,Rwanda2022P66,Rwanda,Rwanda | Rwanda2022P66
PP746331,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P67,L,6221,partial,Rwanda,Bos taurus,2022-06-18,Rwanda2022P67,Rwanda,Rwanda | Rwanda2022P67
PP746367,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P67,M,3596,partial,Rwanda,Bos taurus,2022-06-18,Rwanda2022P67,Rwanda,Rwanda | Rwanda2022P67
PP746332,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P68,L,6243,partial,Rwanda,Bos taurus,2022-06-18,Rwanda2022P68,Rwanda,Rwanda | Rwanda2022P68
PP746333,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P69,L,5924,partial,Rwanda,Bos taurus,2022-06-13,Rwanda2022P69,Rwanda,Rwanda | Rwanda2022P69
PP746368,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P69,M,3513,partial,Rwanda,Bos taurus,2022-06-13,Rwanda2022P69,Rwanda,Rwanda | Rwanda2022P69
PP746405,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P69,S,1658,partial,Rwanda,Bos taurus,2022-06-13,Rwanda2022P69,Rwanda,Rwanda | Rwanda2022P69
PP746334,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P7,L,5924,partial,Rwanda,Bos taurus,2022-06-09,Rwanda2022P7,Rwanda,Rwanda | Rwanda2022P7
PP746369,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P7,M,3529,partial,Rwanda,Bos taurus,2022-06-09,Rwanda2022P7,Rwanda,Rwanda | Rwanda2022P7
PP746406,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P7,S,1658,partial,Rwanda,Bos taurus,2022-09-06,Rwanda2022P7,Rwanda,Rwanda | Rwanda2022P7
PP746370,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P71,M,3513,partial,Rwanda,Bos taurus,2022-06-14,Rwanda2022P71,Rwanda,Rwanda | Rwanda2022P71
PP746407,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P71,S,1658,partial,Rwanda,Bos taurus,2022-06-14,Rwanda2022P71,Rwanda,Rwanda | Rwanda2022P71
PP746335,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P73,L,6106,partial,Rwanda,Ovis aries,2022-07-03,Rwanda2022P73,Rwanda,Rwanda | Rwanda2022P73
PP746371,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P73,M,3561,partial,Rwanda,Ovis aries,2022-07-03,Rwanda2022P73,Rwanda,Rwanda | Rwanda2022P73
PP746408,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P73,S,1658,partial,Rwanda,Ovis aries,2022-03-07,Rwanda2022P73,Rwanda,Rwanda | Rwanda2022P73
PP746336,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P76,L,6223,partial,Rwanda,Bos taurus,2022-06-27,Rwanda2022P76,Rwanda,Rwanda | Rwanda2022P76
PP746372,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P76,M,3858,partial,Rwanda,Bos taurus,2022-06-27,Rwanda2022P76,Rwanda,Rwanda | Rwanda2022P76
PP746409,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P76,S,1636,partial,Rwanda,Bos taurus,2022-06-27,Rwanda2022P76,Rwanda,Rwanda | Rwanda2022P76
PP746337,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P80,L,6247,partial,Rwanda,Bos taurus,2022-06-28,Rwanda2022P80,Rwanda,Rwanda | Rwanda2022P80
PP746373,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P80,M,3829,partial,Rwanda,Bos taurus,2022-06-28,Rwanda2022P80,Rwanda,Rwanda | Rwanda2022P80
PP746410,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P80,S,1657,partial,Rwanda,Bos taurus,2022-06-28,Rwanda2022P80,Rwanda,Rwanda | Rwanda2022P80
PP746374,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P85,M,3513,partial,Rwanda,Bos taurus,2022-06-28,Rwanda2022P85,Rwanda,Rwanda | Rwanda2022P85
PP746338,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P86,L,5924,partial,Rwanda,Bos taurus,2022-06-28,Rwanda2022P86,Rwanda,Rwanda | Rwanda2022P86
PP746375,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P86,M,3797,partial,Rwanda,Bos taurus,2022-06-28,Rwanda2022P86,Rwanda,Rwanda | Rwanda2022P86
PP746411,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P86,S,1636,partial,Rwanda,Bos taurus,2022-06-28,Rwanda2022P86,Rwanda,Rwanda | Rwanda2022P86
PP746339,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P90,L,5924,partial,Rwanda,Bos taurus,2022-07-09,Rwanda2022P90,Rwanda,Rwanda | Rwanda2022P90
PP746376,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P90,M,3531,partial,Rwanda,Bos taurus,2022-07-09,Rwanda2022P90,Rwanda,Rwanda | Rwanda2022P90
PP746412,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P90,S,1658,partial,Rwanda,Bos taurus,2022-09-07,Rwanda2022P90,Rwanda,Rwanda | Rwanda2022P90
PP746340,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P91,L,5924,partial,Rwanda,Bos taurus,2022-07-09,Rwanda2022P91,Rwanda,Rwanda | Rwanda2022P91
PP746377,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P91,M,3513,partial,Rwanda,Bos taurus,2022-07-09,Rwanda2022P91,Rwanda,Rwanda | Rwanda2022P91
PP746413,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P91,S,1658,partial,Rwanda,Bos taurus,2022-09-07,Rwanda2022P91,Rwanda,Rwanda | Rwanda2022P91
PP746341,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P99,L,5924,partial,Rwanda,Bos taurus,2022-07-29,Rwanda2022P99,Rwanda,Rwanda | Rwanda2022P99
PP746378,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P99,M,3513,partial,Rwanda,Bos taurus,2022-07-29,Rwanda2022P99,Rwanda,Rwanda | Rwanda2022P99
PP746414,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P99,S,1658,partial,Rwanda,Bos taurus,2022-07-29,Rwanda2022P99,Rwanda,Rwanda | Rwanda2022P99
EU312117,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,Senegal,Aedes dalzieli,1981,ACCESSION_EU312117,Senegal,Senegal | ACCESSION_EU312117
HM587124,Rift Valley fever virus,Phlebovirus riftense,ArD38661,M,490,partial,Senegal,Aedes dalzieli,1983,ArD38661,Senegal,Senegal | ArD38661
MG659904,Rift Valley fever virus,Phlebovirus riftense,HD21955,L,6404,complete,Senegal,Homo sapiens,1975,HD21955,Senegal,Senegal | HD21955
MG659818,Rift Valley fever virus,Phlebovirus riftense,HD21955,M,3885,complete,Senegal,Homo sapiens,1975,HD21955,Senegal,Senegal | HD21955
MG659990,Rift Valley fever virus,Phlebovirus riftense,HD21955,S,1691,complete,Senegal,Homo sapiens,1975,HD21955,Senegal,Senegal | HD21955
MZ513011,Rift Valley fever virus,Phlebovirus riftense,SH326064,L,6376,partial,Senegal,Homo sapiens,2020,SH326064,Senegal,Senegal | SH326064
MZ513008,Rift Valley fever virus,Phlebovirus riftense,SH326064,M,3428,partial,Senegal,Homo sapiens,2020,SH326064,Senegal,Senegal | SH326064
MZ513005,Rift Valley fever virus,Phlebovirus riftense,SH326064,S,1396,partial,Senegal,Homo sapiens,2020,SH326064,Senegal,Senegal | SH326064
MZ513012,Rift Valley fever virus,Phlebovirus riftense,SH327052,L,6400,partial,Senegal,Homo sapiens,2020,SH327052,Senegal,Senegal | SH327052
MZ513009,Rift Valley fever virus,Phlebovirus riftense,SH327052,M,3600,partial,Senegal,Homo sapiens,2020,SH327052,Senegal,Senegal | SH327052
MZ513006,Rift Valley fever virus,Phlebovirus riftense,SH327052,S,1407,partial,Senegal,Homo sapiens,2020,SH327052,Senegal,Senegal | SH327052
MZ513013,Rift Valley fever virus,Phlebovirus riftense,SH328056,L,6292,partial,Senegal,Homo sapiens,2020,SH328056,Senegal,Senegal | SH328056
MZ513010,Rift Valley fever virus,Phlebovirus riftense,SH328056,M,3857,partial,Senegal,Homo sapiens,2020,SH328056,Senegal,Senegal | SH328056
MZ513007,Rift Valley fever virus,Phlebovirus riftense,SH328056,S,1358,partial,Senegal,Homo sapiens,2020,SH328056,Senegal,Senegal | SH328056
PP541453,Rift Valley fever virus,Phlebovirus riftense,SH409226,L,6315,complete,Senegal,Homo sapiens,2022-11-11,SH409226,Senegal,Senegal | SH409226
PP541454,Rift Valley fever virus,Phlebovirus riftense,SH409226,M,3885,partial,Senegal,Homo sapiens,2022-11-11,SH409226,Senegal,Senegal | SH409226
PP541455,Rift Valley fever virus,Phlebovirus riftense,SH409226,S,1671,partial,Senegal,Homo sapiens,2022-11-11,SH409226,Senegal,Senegal | SH409226
PP541456,Rift Valley fever virus,Phlebovirus riftense,SH409425,L,6397,partial,Senegal,Homo sapiens,2022-11-11,SH409425,Senegal,Senegal | SH409425
PP541457,Rift Valley fever virus,Phlebovirus riftense,SH409425,M,3885,partial,Senegal,Homo sapiens,2022-11-17,SH409425,Senegal,Senegal | SH409425
PP541458,Rift Valley fever virus,Phlebovirus riftense,SH409425,S,1671,partial,Senegal,Homo sapiens,2022-11-17,SH409425,Senegal,Senegal | SH409425
EU312126,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,Somalia,Capra hircus,1998,ACCESSION_EU312126,Somalia,Somalia | ACCESSION_EU312126
HM587051,Rift Valley fever virus,Phlebovirus riftense,SPU12/99/21,M,490,partial,Somalia,Capra hircus,1999,SPU12/99/21,Somalia,Somalia | SPU12/99/21
DQ375428,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,South Africa,NA,1975,ACCESSION_DQ375428,South Africa,South Africa | ACCESSION_DQ375428
DQ375433,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,South Africa,Ovis aries,1951,ACCESSION_DQ375433,South Africa,South Africa | ACCESSION_DQ375433
DQ380158,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,South Africa,Ovis aries,1951,ACCESSION_DQ380158,South Africa,South Africa | ACCESSION_DQ380158
DQ380175,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,South Africa,Homo sapiens,1975,ACCESSION_DQ380175,South Africa,South Africa | ACCESSION_DQ380175
DQ380189,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,South Africa,Homo sapiens,1975,ACCESSION_DQ380189,South Africa,South Africa | ACCESSION_DQ380189
DQ380195,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,South Africa,Ovis aries,1951,ACCESSION_DQ380195,South Africa,South Africa | ACCESSION_DQ380195
EU312111,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,South Africa,Aedes circumluteolus,1955,ACCESSION_EU312111,South Africa,South Africa | ACCESSION_EU312111
EU312113,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,South Africa,Eretmapodites quinquevittatus,1971,ACCESSION_EU312113,South Africa,South Africa | ACCESSION_EU312113
EU312114,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,complete,South Africa,Culex zombaensis,1981,ACCESSION_EU312114,South Africa,South Africa | ACCESSION_EU312114
EU312120,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,South Africa,Homo sapiens,1975,ACCESSION_EU312120,South Africa,South Africa | ACCESSION_EU312120
EU312127,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,South Africa,Bubalus bubalis,1999,ACCESSION_EU312127,South Africa,South Africa | ACCESSION_EU312127
EU709747,Rift Valley fever virus,Phlebovirus riftense,NA,S,1690,partial,South Africa,Homo sapiens,2008,ACCESSION_EU709747,South Africa,South Africa | ACCESSION_EU709747
EU709748,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,partial,South Africa,Homo sapiens,2008,ACCESSION_EU709748,South Africa,South Africa | ACCESSION_EU709748
JF784386,Rift Valley fever virus,Phlebovirus riftense,NA,L,6404,complete,South Africa,Ovis aries,1974,ACCESSION_JF784386,South Africa,South Africa | ACCESSION_JF784386
JF784387,Rift Valley fever virus,Phlebovirus riftense,NA,M,3885,complete,South Africa,Ovis aries,1974,ACCESSION_JF784387,South Africa,South Africa | ACCESSION_JF784387
JF784388,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,South Africa,Ovis aries,1974,ACCESSION_JF784388,South Africa,South Africa | ACCESSION_JF784388
KY126686,Rift Valley fever virus,Phlebovirus riftense,An1830,L,6404,complete,South Africa,Ovis aries,1956,An1830,South Africa,South Africa | An1830
KY126711,Rift Valley fever virus,Phlebovirus riftense,An1830,M,3885,complete,South Africa,Ovis aries,1956,An1830,South Africa,South Africa | An1830
KY196508,Rift Valley fever virus,Phlebovirus riftense,An1830,S,1691,complete,South Africa,Ovis aries,1956,An1830,South Africa,South Africa | An1830
MG659819,Rift Valley fever virus,Phlebovirus riftense,Ar 118,L,6404,complete,South Africa,Aedes circumluteolus,1955,Ar 118,South Africa,South Africa | Ar 118
MG659733,Rift Valley fever virus,Phlebovirus riftense,Ar 118,M,3885,complete,South Africa,Aedes circumluteolus,1955,Ar 118,South Africa,South Africa | Ar 118
MG659905,Rift Valley fever virus,Phlebovirus riftense,Ar 118,S,1692,complete,South Africa,Aedes circumluteolus,1955,Ar 118,South Africa,South Africa | Ar 118
HM587120,Rift Valley fever virus,Phlebovirus riftense,Ar118,M,490,partial,South Africa,Aedes circumluteolus,1955,Ar118,South Africa,South Africa | Ar118
KY126687,Rift Valley fever virus,Phlebovirus riftense,Ar12568,L,6404,complete,South Africa,Eretmapodites quinquevittatus,1971,Ar12568,South Africa,South Africa | Ar12568
KY126712,Rift Valley fever virus,Phlebovirus riftense,Ar12568,M,3885,complete,South Africa,Eretmapodites quinquevittatus,1971,Ar12568,South Africa,South Africa | Ar12568
KY196509,Rift Valley fever virus,Phlebovirus riftense,Ar12568,S,1691,complete,South Africa,Eretmapodites quinquevittatus,1971,Ar12568,South Africa,South Africa | Ar12568
KY126688,Rift Valley fever virus,Phlebovirus riftense,Ar20364,L,6404,complete,South Africa,Culex zombaensis,1981,Ar20364,South Africa,South Africa | Ar20364
KY126713,Rift Valley fever virus,Phlebovirus riftense,Ar20364,M,3885,complete,South Africa,Culex zombaensis,1981,Ar20364,South Africa,South Africa | Ar20364
KY196510,Rift Valley fever virus,Phlebovirus riftense,Ar20364,S,1690,complete,South Africa,Culex zombaensis,1981,Ar20364,South Africa,South Africa | Ar20364
KY126685,Rift Valley fever virus,Phlebovirus riftense,Ar74,L,6404,complete,South Africa,Aedes circumluteolus,1955,Ar74,South Africa,South Africa | Ar74
KY126710,Rift Valley fever virus,Phlebovirus riftense,Ar74,M,3885,complete,South Africa,Aedes circumluteolus,1955,Ar74,South Africa,South Africa | Ar74
KY196507,Rift Valley fever virus,Phlebovirus riftense,Ar74,S,1691,complete,South Africa,Aedes circumluteolus,1955,Ar74,South Africa,South Africa | Ar74
HM587110,Rift Valley fever virus,Phlebovirus riftense,H1739,M,490,partial,South Africa,Homo sapiens,1975,H1739,South Africa,South Africa | H1739
HM587114,Rift Valley fever virus,Phlebovirus riftense,H1825,M,490,partial,South Africa,Homo sapiens,1975,H1825,South Africa,South Africa | H1825
KY126680,Rift Valley fever virus,Phlebovirus riftense,J40/6,L,6404,complete,South Africa,Syncerus caffer,2008,J40/6,South Africa,South Africa | J40/6
KY126705,Rift Valley fever virus,Phlebovirus riftense,J40/6,M,3885,complete,South Africa,Syncerus caffer,2008,J40/6,South Africa,South Africa | J40/6
KY196502,Rift Valley fever virus,Phlebovirus riftense,J40/6,S,1692,complete,South Africa,Syncerus caffer,2008,J40/6,South Africa,South Africa | J40/6
KX944849,Rift Valley fever virus,Phlebovirus riftense,M06/10,L,6380,partial,South Africa,Bos taurus,2010,M06/10,South Africa,South Africa | M06/10
KX944826,Rift Valley fever virus,Phlebovirus riftense,M06/10,M,3877,partial,South Africa,Bos taurus,2010,M06/10,South Africa,South Africa | M06/10
KX944803,Rift Valley fever virus,Phlebovirus riftense,M06/10,S,1672,partial,South Africa,Bos taurus,2010,M06/10,South Africa,South Africa | M06/10
KX944850,Rift Valley fever virus,Phlebovirus riftense,M12/10,L,6329,partial,South Africa,Ovis aries,2010,M12/10,South Africa,South Africa | M12/10
KX944827,Rift Valley fever virus,Phlebovirus riftense,M12/10,M,3875,partial,South Africa,Ovis aries,2010,M12/10,South Africa,South Africa | M12/10
KX944805,Rift Valley fever virus,Phlebovirus riftense,M12/10,S,1676,partial,South Africa,Ovis aries,2010,M12/10,South Africa,South Africa | M12/10
KX944851,Rift Valley fever virus,Phlebovirus riftense,M127/09,L,6404,partial,South Africa,Bos taurus,2009,M127/09,South Africa,South Africa | M127/09
KX944828,Rift Valley fever virus,Phlebovirus riftense,M127/09,M,3879,partial,South Africa,Bos taurus,2009,M127/09,South Africa,South Africa | M127/09
KX944804,Rift Valley fever virus,Phlebovirus riftense,M127/09,S,1635,partial,South Africa,Bos taurus,2009,M127/09,South Africa,South Africa | M127/09
KX944852,Rift Valley fever virus,Phlebovirus riftense,M16/10,L,6403,partial,South Africa,Ovis aries,2010,M16/10,South Africa,South Africa | M16/10
KX944829,Rift Valley fever virus,Phlebovirus riftense,M16/10,M,3876,partial,South Africa,Ovis aries,2010,M16/10,South Africa,South Africa | M16/10
KX944806,Rift Valley fever virus,Phlebovirus riftense,M16/10,S,1675,partial,South Africa,Ovis aries,2010,M16/10,South Africa,South Africa | M16/10
KX944853,Rift Valley fever virus,Phlebovirus riftense,M19/10,L,6294,partial,South Africa,Ovis aries,2010,M19/10,South Africa,South Africa | M19/10
KX944830,Rift Valley fever virus,Phlebovirus riftense,M19/10,M,3878,partial,South Africa,Ovis aries,2010,M19/10,South Africa,South Africa | M19/10
KX944809,Rift Valley fever virus,Phlebovirus riftense,M19/10,S,1654,partial,South Africa,Ovis aries,2010,M19/10,South Africa,South Africa | M19/10
KX944854,Rift Valley fever virus,Phlebovirus riftense,M1955,L,6373,partial,South Africa,unidentified,1955,M1955,South Africa,South Africa | M1955
KX944831,Rift Valley fever virus,Phlebovirus riftense,M1955,M,3885,partial,South Africa,unidentified,1955,M1955,South Africa,South Africa | M1955
KX944807,Rift Valley fever virus,Phlebovirus riftense,M1955,S,1655,partial,South Africa,unidentified,1955,M1955,South Africa,South Africa | M1955
KX944855,Rift Valley fever virus,Phlebovirus riftense,M1975/Bov,L,6388,partial,South Africa,Bos taurus,1975,M1975/Bov,South Africa,South Africa | M1975/Bov
KX944832,Rift Valley fever virus,Phlebovirus riftense,M1975/Bov,M,3838,partial,South Africa,Bos taurus,1975,M1975/Bov,South Africa,South Africa | M1975/Bov
KX944808,Rift Valley fever virus,Phlebovirus riftense,M1975/Bov,S,1653,partial,South Africa,Bos taurus,1975,M1975/Bov,South Africa,South Africa | M1975/Bov
KX944856,Rift Valley fever virus,Phlebovirus riftense,M21/10,L,6329,partial,South Africa,Ovis aries,2010,M21/10,South Africa,South Africa | M21/10
KX944833,Rift Valley fever virus,Phlebovirus riftense,M21/10,M,3875,partial,South Africa,Ovis aries,2010,M21/10,South Africa,South Africa | M21/10
KX944810,Rift Valley fever virus,Phlebovirus riftense,M21/10,S,1676,partial,South Africa,Ovis aries,2010,M21/10,South Africa,South Africa | M21/10
KX944857,Rift Valley fever virus,Phlebovirus riftense,M247/09,L,6390,partial,South Africa,Ovis aries,2009,M247/09,South Africa,South Africa | M247/09
KX944834,Rift Valley fever virus,Phlebovirus riftense,M247/09,M,3884,partial,South Africa,Ovis aries,2009,M247/09,South Africa,South Africa | M247/09
KX944811,Rift Valley fever virus,Phlebovirus riftense,M247/09,S,1678,partial,South Africa,Ovis aries,2009,M247/09,South Africa,South Africa | M247/09
KX944858,Rift Valley fever virus,Phlebovirus riftense,M25/10,L,6398,partial,South Africa,Ovis aries,2010,M25/10,South Africa,South Africa | M25/10
KX944835,Rift Valley fever virus,Phlebovirus riftense,M25/10,M,3878,partial,South Africa,Ovis aries,2010,M25/10,South Africa,South Africa | M25/10
KX944813,Rift Valley fever virus,Phlebovirus riftense,M25/10,S,1661,partial,South Africa,Ovis aries,2010,M25/10,South Africa,South Africa | M25/10
KX944859,Rift Valley fever virus,Phlebovirus riftense,M259/09,L,6403,partial,South Africa,Bos taurus,2009,M259/09,South Africa,South Africa | M259/09
KX944836,Rift Valley fever virus,Phlebovirus riftense,M259/09,M,3880,partial,South Africa,Bos taurus,2009,M259/09,South Africa,South Africa | M259/09
KX944812,Rift Valley fever virus,Phlebovirus riftense,M259/09,S,1638,partial,South Africa,Bos taurus,2009,M259/09,South Africa,South Africa | M259/09
KX944860,Rift Valley fever virus,Phlebovirus riftense,M260/09,L,6390,partial,South Africa,Bos taurus,2009,M260/09,South Africa,South Africa | M260/09
KX944837,Rift Valley fever virus,Phlebovirus riftense,M260/09,M,3866,partial,South Africa,Bos taurus,2009,M260/09,South Africa,South Africa | M260/09
KX944814,Rift Valley fever virus,Phlebovirus riftense,M260/09,S,1626,partial,South Africa,Bos taurus,2009,M260/09,South Africa,South Africa | M260/09
KX944861,Rift Valley fever virus,Phlebovirus riftense,M29/10,L,6393,partial,South Africa,Bos taurus,2010,M29/10,South Africa,South Africa | M29/10
KX944838,Rift Valley fever virus,Phlebovirus riftense,M29/10,M,3879,partial,South Africa,Bos taurus,2010,M29/10,South Africa,South Africa | M29/10
KX944815,Rift Valley fever virus,Phlebovirus riftense,M29/10,S,1617,partial,South Africa,Bos taurus,2010,M29/10,South Africa,South Africa | M29/10
KX944862,Rift Valley fever virus,Phlebovirus riftense,M33/10,L,6404,partial,South Africa,Ovis aries,2010,M33/10,South Africa,South Africa | M33/10
KX944839,Rift Valley fever virus,Phlebovirus riftense,M33/10,M,3878,partial,South Africa,Ovis aries,2010,M33/10,South Africa,South Africa | M33/10
KX944816,Rift Valley fever virus,Phlebovirus riftense,M33/10,S,1676,partial,South Africa,Ovis aries,2010,M33/10,South Africa,South Africa | M33/10
KX944863,Rift Valley fever virus,Phlebovirus riftense,M37/08,L,6404,partial,South Africa,Bubalus bubalis,2008,M37/08,South Africa,South Africa | M37/08
KX944840,Rift Valley fever virus,Phlebovirus riftense,M37/08,M,3885,partial,South Africa,Bubalus bubalis,2008,M37/08,South Africa,South Africa | M37/08
